type,name,description,value
switchword,GO,Initiate and travel forward,
switchword,OPEN,Unlock resistance,
switchword,YES,Enable receptivity,
switchword,NOW,Activate present moment awareness,
switchword,ACT,Initiate action and movement,
switchword,ON,Power up any process,
switchword,BE,Access identity and core being,
switchword,GO,Initiate and travel forward,
switchword,OPEN,Unlock resistance,
switchword,YES,Enable receptivity,
switchword,NOW,Activate present moment awareness,
switchword,ACT,Initiate action and movement,
switchword,ON,Power up any process,
switchword,BE,Access identity and core being,
switchword,GO,Initiate and travel forward,
switchword,OPEN,Unlock resistance,
switchword,YES,Enable receptivity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
switchword,GIVE,Unblock flow and abundance,
switchword,RELEASE,Let go of trauma or fear,
switchword,FLOW,Sustain creative productivity,
switchword,TRUST,Invoke divine timing,
switchword,HEAL,Accelerate recovery,
switchword,GROW,Expand awareness and success,
switchword,RISE,Overcome adversity,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,22 33 411,Eye healing,
healingcode,15 62 009,Anxiety reduction,
healingcode,88 77 666,Knee joint support,
healingcode,19 81 444,Sleep regulation,
healingcode,20 21 202,Blood sugar balance,
healingcode,11 22 303,Heart healing & love,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,23 74 555,Headache relief,
healingcode,33 45 634,Cellular repair,
healingcode,12 34 678,Emotional balance,
healingcode,99 88 777,Chronic pain,
healingcode,21 43 101,Heart chakra healing,
healingcode,77 66 55,Immune system boost,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
healingcode,88 44 123,Lung support,
healingcode,56 22 444,Allergy healing,
healingcode,11 99 707,Liver detox,
healingcode,32 16 555,Blood purification,
healingcode,90 81 333,Digestive regulation,
healingcode,48 92 610,Mental clarity,
